ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
49,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Arhivistika in dokumentologija,MAG
50,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Arhivistika in dokumentologija (Ljubljana),MAG
51,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Ekoremediacije,MAG
52,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Evropske poslovne študije,MAG
53,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Evropske poslovne študije (na daljavo),MAG
54,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Management poslovnih sistemov,MAG
55,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Management poslovnih sistemov (na daljavo),MAG
56,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Projektni management,DR
57,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Socialna gerontologija,MAG
58,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Socialna gerontologija,DR
59,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Socialna gerontologija (Ljubljana),MAG
60,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Socialna gerontologija (Ljubljana),DR
61,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Socialna gerontologija (na daljavo),MAG
62,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Strateški komunikacijski management,DR
63,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Zdravstvene vede,MAG
64,Alma Mater Europaea - Evropski Center Maribor,Slovenska ulica 17,Maribor,2000,Zdravstvene vede (Murska Sobota),MAG
65,"Alma Mater Europaea - Institutum Studiorum Humanitatis, fakulteta za podiplomski humanistièni študij, Ljubljana",Kardeljeva plošèad 1,Ljubljana,1000,Humanistièni študiji (Ljubljana),VSŠ
66,"Alma Mater Europaea - Institutum Studiorum Humanitatis, fakulteta za podiplomski humanistièni študij, Ljubljana",Kardeljeva plošèad 1,Ljubljana,1000,Humanistièni študiji (študij na daljavo),VSŠ
67,"Alma Mater Europaea - Institutum Studiorum Humanitatis, fakulteta za podiplomski humanistièni študij, Ljubljana",Kardeljeva plošèad 1,Ljubljana,1000,Humanistiène znanosti,MAG
68,"Alma Mater Europaea - Institutum Studiorum Humanitatis, fakulteta za podiplomski humanistièni študij, Ljubljana",Kardeljeva plošèad 1,Ljubljana,1000,Humanistiène znanosti,DR
69,"B&B visoka šola za trajnostni razvoj, Kranj",Ljubljanska cesta 30,Kranj,4000,Varstvo okolja,VSŠ
70,"B2 Visoka šola za poslovne vede, Ljubljana",Tržaška cesta 42,Ljubljana,1000,Poslovna informatika,VSŠ
71,"B2 Visoka šola za poslovne vede, Ljubljana",Tržaška cesta 42,Ljubljana,1000,Tržno komuniciranje in odnosi z javnostmi,VSŠ
72,"B2 Visoka šola za poslovne vede, Ljubljana",Tržaška cesta 42,Ljubljana,1000,Management in informatika,MAG
73,"B2 Visoka šola za poslovne vede, Ljubljana",Tržaška cesta 42,Ljubljana,1000,Trženje,MAG
74,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Biologija,UNI
75,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Biotehnologija,UNI
76,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Gozdarstvo,VSŠ
77,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Gozdarstvo in obnovljivi gozdni viri,UNI
78,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Kmetijstvo - agronomija,UNI
79,Biotehniška fakulteta,Jamnikarjeva ulica 101,Ljubljana,1000,Kmetijstvo - agronomija in hortikultura,VSŠ
